Metric,Mean,Std,Median
#docs,148.0,,
Complex words,217.45945945945945,69.44310825459621,208.0
Simple words,231.51351351351352,79.94568619577132,227.0
Word ratio (S/C),1.082753422940168,0.22394380938867686,1.0425161909330773
Complex sents,9.31081081081081,2.9962592354702613,9.0
Simple sents,10.35135135135135,3.25944961103388,10.0
Sent ratio (S/C),1.1371310586384116,0.20951406815469742,1.0954545454545455
FKGL complex,14.750232367754448,3.1392907579204783,15.17064020486556
FKGL simple,12.778965267666925,2.9150061684133344,12.867281402125762
ΔFKGL (S - C),-1.9712671000875224,2.793706690101497,-2.1098644819469854
FRE complex,26.34712113703732,14.835278083665548,27.49901600489588
FRE simple,41.72900519272055,14.128616492359475,39.87346935679615
ΔFRE (S - C),15.381884055683233,13.756593608275784,14.630718349988499
Jaccard lex,0.4270229741474655,0.12445462878335409,0.40190700104493204
ROUGE-L F1 (S vs C),0.5447140381214748,0.1392148918011672,0.5361687374674388
BERTScore F1 (S vs C),0.9096306562423706,0.021907860413193703,0.9070658087730408
