Metric,Mean,Std,Median
#docs,200.0,,
Complex words,89.06,23.743952417024204,87.5
Simple words,77.08,19.323576351573106,76.0
Word ratio (S/C),0.874032228128476,0.10420701843902007,0.8813348001466814
Complex sents,4.6,1.533544519722153,4.0
Simple sents,5.425,1.495176499219773,5.0
Sent ratio (S/C),1.2456646825396824,0.40924227243544553,1.2
FKGL complex,10.165321185803242,3.521938396832709,9.61138716356108
FKGL simple,6.689392736811113,2.004004802478988,6.5789384319384325
ΔFKGL (S - C),-3.47592844899213,3.4437622903862963,-2.897979687350775
FRE complex,58.395505834551926,13.382587367467757,61.155602262366095
FRE simple,72.86787066060553,10.70942961270888,73.15144144144145
ΔFRE (S - C),14.47236482605361,12.737682397161555,13.136207730270762
Jaccard lex,0.43964568831175255,0.11370060144604381,0.4438717067583047
ROUGE-L F1 (S vs C),0.5354539572753648,0.12065642881669622,0.5419176706827309
BERTScore F1 (S vs C),0.9408147931098938,0.017067132517695427,0.9422149658203125
